date,storage,inflow,outflow,elevation,evaporation
1943-02-19,8.83,NA,172.166,NA,NA
1943-02-20,18.595,NA,0.85,273.025,NA
1943-02-21,28.918,NA,0.538,275.28,NA
1943-02-22,37.748,NA,1.444,276.99,NA
1943-02-23,46.517,NA,7.476,278.191,NA
1943-02-24,54.601,NA,13.988,279.212,NA
1943-02-25,63.183,NA,19.878,280.035,NA
1943-02-26,71.454,NA,21.521,280.812,NA
1943-02-27,79.165,NA,21.917,281.498,NA
1943-02-28,86.006,NA,16.99,282.08,NA
1943-03-01,93.096,NA,0,282.571,NA
1943-03-02,100.06,NA,0,283.046,NA
1943-03-03,107.15,NA,0,283.488,NA
1943-03-04,113.991,NA,0,283.921,NA
1943-03-05,121.39,NA,0,284.32,NA
1943-03-06,127.921,NA,0,284.729,NA
1943-03-07,134.886,NA,0,285.079,NA
1943-03-08,141.042,NA,0,285.442,NA
1943-03-09,148.008,NA,0,285.747,NA
1943-03-10,155.035,NA,0,286.082,NA
1943-03-11,161.999,NA,0,286.411,NA
1943-03-12,169.774,NA,0,286.731,NA
1943-03-13,180.221,NA,0,287.073,NA
1943-03-14,189.984,NA,0,287.521,NA
1943-03-15,197.198,NA,0,287.92,NA
1943-03-16,203.852,NA,43.41,288.21,NA
1943-03-17,219.399,NA,25.598,288.469,NA
1943-03-18,243.093,NA,0,289.057,NA
1943-03-19,264.361,NA,0,289.911,NA
1943-03-20,291.91,NA,13.62,290.633,NA
1943-03-21,323.813,NA,16.027,291.52,NA
1943-03-22,357.518,NA,100.072,292.489,NA
1943-03-23,379.906,NA,123.178,293.458,NA
1943-03-24,396.635,NA,117.033,294.071,NA
1943-03-25,410.13,NA,117.741,294.519,NA
1943-03-26,422.505,NA,113.494,294.87,NA
1943-03-27,433.824,NA,130.257,295.187,NA
1943-03-28,447.504,NA,128.02,295.473,NA
1943-03-29,459.258,NA,120.346,295.814,NA
1943-03-30,469.955,NA,68.13,296.101,NA
1943-03-31,477.106,NA,128.615,296.36,NA
1943-04-01,484.381,NA,97.466,296.531,NA
1943-04-02,490.601,NA,114.4,296.705,NA
1943-04-03,496.074,NA,117.571,296.851,NA
1943-04-04,498.374,NA,119.582,296.979,NA
1943-04-05,501.111,NA,119.978,297.031,NA
1943-04-06,504.53,NA,117.628,297.095,NA
1943-04-07,507.703,NA,119.978,297.174,NA
1943-04-08,511.185,NA,116.863,297.247,NA
1943-04-09,514.544,NA,112.701,297.326,NA
1943-04-10,518.709,NA,93.049,297.406,NA
1943-04-11,526.11,NA,8.467,297.5,NA
1943-04-12,532.454,NA,63.6,297.668,NA
1943-04-13,538.112,NA,74.162,297.811,NA
1943-04-14,543.585,NA,81.184,297.936,NA
1943-04-15,549.804,NA,71.981,298.067,NA
1943-04-16,554.095,NA,71.16,298.195,NA
1943-04-17,558.137,NA,76.597,298.289,NA
1943-04-18,562.863,NA,74.955,298.378,NA
1943-04-19,571.507,NA,81.128,298.481,NA
1943-04-20,589.045,NA,100.61,298.67,NA
1943-04-21,603.721,NA,104.149,299.045,NA
1943-04-22,612.614,NA,103.526,299.353,NA
1943-04-23,622.315,NA,104.376,299.539,NA
1943-04-24,630.275,NA,103.894,299.737,NA
1943-04-25,638.173,NA,104.574,299.902,NA
1943-04-26,644.516,NA,102.932,300.06,NA
1943-04-27,650.796,NA,96.079,300.188,NA
1943-04-28,656.891,NA,90.755,300.313,NA
1943-04-29,661.493,NA,102.054,300.435,NA
1943-04-30,666.281,NA,102.705,300.527,NA
1943-05-01,670.262,NA,101.289,300.621,NA
1943-05-02,672.438,NA,101.148,300.697,NA
1943-05-03,674.49,NA,101.034,300.74,NA
1943-05-04,676.792,NA,101.289,300.78,NA
1943-05-05,679.279,NA,101.402,300.825,NA
1943-05-06,681.393,NA,101.148,300.874,NA
1943-05-07,683.445,NA,101.119,300.914,NA
1943-05-08,685.498,NA,102.139,300.953,NA
1943-05-09,686.617,NA,101.233,300.993,NA
1943-05-10,688.545,NA,100.864,301.014,NA
1943-05-11,689.789,NA,128.728,301.051,NA
1943-05-12,690.722,NA,252.954,301.075,NA
1943-05-13,690.535,NA,329.579,301.094,NA
1943-05-14,689.789,NA,310.097,301.091,NA
1943-05-15,688.358,NA,267.452,301.075,NA
1943-05-16,690.411,NA,205.948,301.048,NA
1943-05-17,689.665,NA,207.166,301.088,NA
1943-05-18,691.654,NA,144.331,301.072,NA
1943-05-19,694.888,NA,101.629,301.112,NA
1943-05-20,698.309,NA,101.034,301.173,NA
1943-05-21,702.911,NA,100.949,301.237,NA
1943-05-22,707.575,NA,101.374,301.325,NA
1943-05-23,710.497,NA,101.374,301.414,NA
1943-05-24,713.109,NA,99.534,301.469,NA
1943-05-25,717.525,NA,100.808,301.517,NA
1943-05-26,722.126,NA,141.442,301.6,NA
1943-05-27,723.432,NA,206.09,301.685,NA
1943-05-28,723.246,NA,205.41,301.709,NA
1943-05-29,722.624,NA,209.233,301.706,NA
1943-05-30,720.572,NA,207.817,301.694,NA
1943-05-31,718.955,NA,173.95,301.658,NA
1943-06-01,721.069,NA,100.695,301.627,NA
1943-06-02,723.432,NA,100.808,301.667,NA
1943-06-03,724.677,NA,100.808,301.709,NA
1943-06-04,724.552,NA,126.519,301.734,NA
1943-06-05,722.437,NA,165.37,301.731,NA
1943-06-06,719.639,NA,165.37,301.691,NA
1943-06-07,718.955,NA,135.864,301.639,NA
1943-06-08,722.064,NA,99.222,301.627,NA
1943-06-09,723.432,NA,100.808,301.685,NA
1943-06-10,725.671,NA,100.779,301.709,NA
1943-06-11,728.345,NA,100.553,301.752,NA
1943-06-12,730.833,NA,100.525,301.801,NA
1943-06-13,731.33,NA,99.93,301.846,NA
1943-06-14,731.827,NA,100.411,301.856,NA
1943-06-15,733.755,NA,100.525,301.865,NA
1943-06-16,736.803,NA,100.411,301.901,NA
1943-06-17,739.477,NA,100.298,301.956,NA
1943-06-18,741.093,NA,100.525,302.005,NA
1943-06-19,741.405,NA,100.043,302.035,NA
1943-06-20,741.405,NA,100.213,302.042,NA
1943-06-21,741.281,NA,100.298,302.042,NA
1943-06-22,742.275,NA,100.043,302.039,NA
1943-06-23,742.96,NA,99.449,302.057,NA
1943-06-24,744.763,NA,99.817,302.069,NA
1943-06-25,745.82,NA,99.59,302.103,NA
1943-06-26,746.505,NA,99.817,302.121,NA
1943-06-27,746.317,NA,98.826,302.133,NA
1943-06-28,744.763,NA,99.364,302.13,NA
1943-06-29,750.919,NA,99.137,302.103,NA
1943-06-30,763.047,NA,98.882,302.212,NA
1943-07-01,772.561,NA,99.109,302.432,NA
1943-07-02,782.262,NA,97.919,302.602,NA
1943-07-03,791.963,NA,84.242,302.773,NA
1943-07-04,800.172,NA,96.928,302.944,NA
1943-07-05,810.744,NA,96.985,303.087,NA
1943-07-06,820.57,NA,96.277,303.27,NA
1943-07-07,827.162,NA,96.107,303.438,NA
1943-07-08,831.329,NA,96.645,303.55,NA
1943-07-09,837.672,NA,96.39,303.62,NA
1943-07-10,846.503,NA,96.334,303.727,NA
1943-07-11,852.97,NA,95.456,303.876,NA
1943-07-12,858.069,NA,94.975,303.983,NA
1943-07-13,863.356,NA,94.748,304.068,NA
1943-07-14,868.58,NA,93.814,304.157,NA
1943-07-15,871.565,NA,131.05,304.242,NA
1943-07-16,870.258,NA,214.811,304.291,NA
1943-07-17,866.713,NA,246.979,304.27,NA
1943-07-18,862.111,NA,263.346,304.212,NA
1943-07-19,856.204,NA,238.682,304.136,NA
1943-07-20,854.587,NA,188.137,304.038,NA
1943-07-21,853.841,NA,151.778,304.011,NA
1943-07-22,849.239,NA,214.981,303.998,NA
1943-07-23,840.222,NA,305.963,303.922,NA
1943-07-24,830.022,NA,339.915,303.77,NA
1943-07-25,816.465,NA,393.745,303.599,NA
1943-07-26,810.744,NA,266.065,303.367,NA
1943-07-27,814.165,NA,98.826,303.27,NA
1943-07-28,813.792,NA,138.611,303.328,NA
1943-07-29,810.62,NA,222.712,303.322,NA
1943-07-30,815.408,NA,150.645,303.267,NA
1943-07-31,820.384,NA,98.826,303.349,NA
1943-08-01,822.56,NA,98.826,303.434,NA
1943-08-02,822.871,NA,98.826,303.471,NA
1943-08-03,823.991,NA,98.826,303.477,NA
1943-08-04,824.674,NA,98.826,303.495,NA
1943-08-05,826.105,NA,98.826,303.508,NA
1943-08-06,826.291,NA,98.826,303.532,NA
1943-08-07,828.094,NA,56.549,303.535,NA
1943-08-08,827.908,NA,98.033,303.566,NA
1943-08-09,826.789,NA,98.826,303.563,NA
1943-08-10,826.976,NA,98.826,303.544,NA
1943-08-11,827.348,NA,98.826,303.547,NA
1943-08-12,830.582,NA,92.03,303.553,NA
1943-08-13,836.18,NA,97.693,303.608,NA
1943-08-14,843.269,NA,97.693,303.703,NA
1943-08-15,846.875,NA,96.957,303.822,NA
1943-08-16,848.866,NA,96.56,303.883,NA
1943-08-17,852.784,NA,96.192,303.916,NA
1943-08-18,853.654,NA,96.56,303.98,NA
1943-08-19,854.027,NA,96.56,303.995,NA
1943-08-20,853.841,NA,96.56,304.001,NA
1943-08-21,852.97,NA,96.56,303.998,NA
1943-08-22,852.037,NA,96.56,303.983,NA
1943-08-23,850.359,NA,96.56,303.968,NA
1943-08-24,847.435,NA,134.108,303.94,NA
1943-08-25,837.299,NA,304.689,303.892,NA
1943-08-26,824.363,NA,339.462,303.721,NA
1943-08-27,811.864,NA,340.368,303.502,NA
1943-08-28,799.489,NA,340.736,303.288,NA
1943-08-29,786.553,NA,341.217,303.075,NA
1943-08-30,772.934,NA,338.669,302.849,NA
1943-08-31,759.813,NA,347.674,302.608,NA
1943-09-01,747.748,NA,343.426,302.374,NA
1943-09-02,735.434,NA,338.641,302.145,NA
1943-09-03,724.054,NA,335.526,301.932,NA
1943-09-04,712.612,NA,332.099,301.722,NA
1943-09-05,701.48,NA,305.142,301.508,NA
1943-09-06,688.545,NA,335.356,301.298,NA
1943-09-07,674.926,NA,359.708,301.051,NA
1943-09-08,661.804,NA,340.934,300.789,NA
1943-09-09,649.864,NA,320.603,300.533,NA
1943-09-10,642.588,NA,219.71,300.295,NA
1943-09-11,639.044,NA,127.142,300.149,NA
1943-09-12,636.307,NA,106.896,300.079,NA
1943-09-13,632.825,NA,107.094,300.024,NA
1943-09-14,630.461,NA,107.604,299.954,NA
1943-09-15,627.601,NA,107.604,299.905,NA
1943-09-16,626.108,NA,108.312,299.847,NA
1943-09-17,623.87,NA,109.728,299.817,NA
1943-09-18,621.071,NA,108.935,299.771,NA
1943-09-19,618.707,NA,107.774,299.713,NA
1943-09-20,617.527,NA,108.963,299.664,NA
1943-09-21,617.339,NA,109.02,299.64,NA
1943-09-22,618.273,NA,109.02,299.637,NA
1943-09-23,618.273,NA,108.453,299.655,NA
1943-09-24,617.65,NA,108.17,299.655,NA
1943-09-25,615.847,NA,108.708,299.643,NA
1943-09-26,615.412,NA,56.634,299.606,NA
1943-09-27,612.489,NA,107.037,299.597,NA
1943-09-28,610.188,NA,108.227,299.536,NA
1943-09-29,607.763,NA,109.02,299.487,NA
1943-09-30,605.338,NA,109.02,299.439,NA
1943-10-01,602.974,NA,109.02,299.387,NA
1943-10-02,600.486,NA,109.19,299.338,NA
1943-10-03,597.751,NA,109.869,299.286,NA
1943-10-04,594.393,NA,109.869,299.228,NA
1943-10-05,591.656,NA,109.869,299.158,NA
1943-10-06,589.045,NA,109.869,299.1,NA
1943-10-07,586.557,NA,109.954,299.045,NA
1943-10-08,584.007,NA,110.436,298.994,NA
1943-10-09,580.462,NA,126.293,298.939,NA
1943-10-10,574.367,NA,160.67,298.862,NA
1943-10-11,568.025,NA,164.407,298.731,NA
1943-10-12,562.738,NA,162.765,298.594,NA
1943-10-13,557.142,NA,160.273,298.478,NA
1943-10-14,552.104,NA,160.754,298.357,NA
1943-10-15,547.005,NA,159.99,298.247,NA
1943-10-16,541.781,NA,160.443,298.134,NA
1943-10-17,536.308,NA,160.471,298.018,NA
1943-10-18,530.401,NA,159.707,297.896,NA
1943-10-19,524.618,NA,171.826,297.765,NA
1943-10-20,518.15,NA,187.032,297.634,NA
1943-10-21,511.682,NA,183.549,297.488,NA
1943-10-22,504.904,NA,184.229,297.338,NA
1943-10-23,497.814,NA,195.358,297.183,NA
1943-10-24,491.161,NA,187.995,297.018,NA
1943-10-25,484.009,NA,186.155,296.863,NA
1943-10-26,478.599,NA,178.452,296.695,NA
1943-10-27,473.001,NA,182.389,296.567,NA
1943-10-28,467.653,NA,182.445,296.433,NA
1943-10-29,463.175,NA,178.877,296.305,NA
1943-10-30,458.015,NA,174.063,296.195,NA
1943-10-31,453.351,NA,167.437,296.071,NA
1943-11-01,448.873,NA,147.955,295.958,NA
