date,storage,inflow,outflow,evaporation,elevation
2005-04-18,20.228,NA,NA,NA,NA
2005-04-19,19.513,NA,NA,NA,NA
2005-04-20,18.839,NA,NA,NA,NA
2005-04-21,18.339,NA,NA,NA,NA
2005-04-22,17.994,NA,NA,NA,NA
2005-04-23,17.655,NA,NA,NA,NA
2005-04-24,17.315,NA,NA,NA,NA
2005-04-25,17,NA,NA,NA,NA
2005-04-26,16.669,NA,NA,NA,NA
2005-04-27,16.293,NA,NA,NA,NA
2005-04-28,15.964,NA,NA,NA,NA
2005-04-29,15.611,NA,NA,NA,NA
2005-04-30,15.221,NA,NA,NA,NA
2005-05-01,14.879,NA,NA,NA,NA
2005-05-02,14.719,NA,NA,NA,NA
2005-05-03,14.719,NA,NA,NA,NA
2005-05-04,14.742,NA,NA,NA,NA
2005-05-05,14.765,NA,NA,NA,NA
2005-05-06,14.765,NA,NA,NA,NA
2005-05-07,14.879,NA,NA,NA,NA
2005-05-08,14.924,NA,NA,NA,NA
2005-05-09,14.97,NA,NA,NA,NA
2005-05-10,15.084,NA,NA,NA,NA
2005-05-11,15.13,NA,NA,NA,NA
2005-05-12,15.244,NA,NA,NA,NA
2005-05-13,15.312,NA,NA,NA,NA
2005-05-14,15.335,NA,NA,NA,NA
2005-05-15,15.449,NA,NA,NA,NA
2005-05-16,15.611,NA,NA,NA,NA
2005-05-17,15.893,NA,NA,NA,NA
2005-05-18,16.081,NA,NA,NA,NA
2005-05-19,16.505,NA,NA,NA,NA
2005-05-20,17.219,NA,NA,NA,NA
2005-05-21,18.019,NA,NA,NA,NA
2005-05-22,18.839,NA,NA,NA,NA
2005-05-23,19.714,NA,NA,NA,NA
2005-05-24,20.588,NA,NA,NA,NA
2005-05-25,21.371,NA,NA,NA,NA
2005-05-26,22.111,NA,NA,NA,NA
2005-05-27,22.705,NA,NA,NA,NA
2005-05-28,23.249,NA,NA,NA,NA
2005-05-29,23.766,NA,NA,NA,NA
2005-05-30,24.38,NA,NA,NA,NA
2005-05-31,24.858,NA,NA,NA,NA
2005-06-01,25.366,NA,NA,NA,NA
2005-06-02,25.978,NA,NA,NA,NA
2005-06-03,26.765,NA,NA,NA,NA
2005-06-04,27.208,NA,NA,NA,NA
2005-06-05,27.57,NA,NA,NA,NA
2005-06-06,27.994,NA,NA,NA,NA
2005-06-07,28.387,NA,NA,NA,NA
2005-06-08,28.755,NA,NA,NA,NA
2005-06-09,29.282,NA,NA,NA,NA
2005-06-10,29.716,NA,NA,NA,NA
2005-06-11,30.088,NA,NA,NA,NA
2005-06-12,30.469,NA,NA,NA,NA
2005-06-13,30.628,NA,NA,NA,NA
2005-06-14,31.042,NA,NA,NA,NA
2005-06-15,31.551,NA,NA,NA,NA
2005-06-16,32.192,NA,NA,NA,NA
2005-06-17,32.913,NA,NA,NA,NA
2005-06-18,33.7,NA,NA,NA,NA
2005-06-19,34.542,NA,NA,NA,NA
2005-06-20,35.316,NA,NA,NA,NA
2005-06-21,36.134,NA,NA,NA,NA
2005-06-22,36.858,NA,NA,NA,NA
2005-06-23,37.687,NA,NA,NA,NA
2005-06-24,38.471,NA,NA,NA,NA
2005-06-25,39.107,NA,NA,NA,NA
2005-06-26,39.867,NA,NA,NA,NA
2005-06-27,40.412,NA,NA,NA,NA
2005-06-28,40.919,NA,NA,NA,NA
2005-06-29,41.467,NA,NA,NA,NA
2005-06-30,41.987,NA,NA,NA,NA
2005-07-01,42.471,NA,NA,NA,NA
2005-07-02,42.806,NA,NA,NA,NA
2005-07-03,43.178,NA,NA,NA,NA
2005-07-04,43.558,NA,NA,NA,NA
2005-07-05,43.824,NA,NA,NA,NA
2005-07-06,44.091,NA,NA,NA,NA
2005-07-07,44.281,NA,NA,NA,NA
2005-07-08,44.624,NA,NA,NA,NA
2005-07-09,44.814,NA,NA,NA,NA
2005-07-10,45.042,NA,NA,NA,NA
2005-07-11,45.233,NA,NA,NA,NA
2005-07-12,45.347,NA,NA,NA,NA
2005-07-13,45.616,NA,NA,NA,NA
2005-07-14,45.85,NA,NA,NA,NA
2005-07-15,46.005,NA,NA,NA,NA
2005-07-16,46.161,NA,NA,NA,NA
2005-07-17,46.317,NA,NA,NA,NA
2005-07-18,46.434,NA,NA,NA,NA
2005-07-19,46.55,NA,NA,NA,NA
2005-07-20,46.589,NA,NA,NA,NA
2005-07-21,46.745,NA,NA,NA,NA
2005-07-22,46.745,NA,NA,NA,NA
2005-07-23,46.901,NA,NA,NA,NA
2005-07-24,47.134,NA,NA,NA,NA
2005-07-25,47.368,NA,NA,NA,NA
2005-07-26,47.525,NA,NA,NA,NA
2005-07-27,47.605,NA,NA,NA,NA
2005-07-28,47.605,NA,NA,NA,NA
2005-07-29,47.684,NA,NA,NA,NA
2005-07-30,47.684,NA,NA,NA,NA
2005-07-31,47.724,NA,NA,NA,NA
2005-08-01,47.843,NA,NA,NA,NA
2005-08-02,47.843,NA,NA,NA,NA
2005-08-03,47.843,NA,NA,NA,NA
2005-08-04,47.963,NA,NA,NA,NA
2005-08-05,48.002,NA,NA,NA,NA
2005-08-06,48.082,NA,NA,NA,NA
2005-08-07,48.121,NA,NA,NA,NA
2005-08-08,48.161,NA,NA,NA,NA
2005-08-09,48.121,NA,NA,NA,NA
2005-08-10,48.28,NA,NA,NA,NA
2005-08-11,48.28,NA,NA,NA,NA
2005-08-12,48.36,NA,NA,NA,NA
2005-08-13,48.28,NA,NA,NA,NA
2005-08-14,48.36,NA,NA,NA,NA
2005-08-15,48.36,NA,NA,NA,NA
2005-08-16,48.28,NA,NA,NA,NA
2005-08-17,48.28,NA,NA,NA,NA
2005-08-18,48.28,NA,NA,NA,NA
2005-08-19,48.28,NA,NA,NA,NA
2005-08-20,48.36,NA,NA,NA,NA
2005-08-21,48.28,NA,NA,NA,NA
2005-08-22,48.28,NA,NA,NA,NA
2005-08-23,48.4,NA,NA,NA,NA
2005-08-24,48.36,NA,NA,NA,NA
2005-08-25,48.4,NA,NA,NA,NA
2005-08-26,48.28,NA,NA,NA,NA
2005-08-27,48.28,NA,NA,NA,NA
2005-08-28,48.36,NA,NA,NA,NA
2005-08-29,48.36,NA,NA,NA,NA
2005-08-30,48.4,NA,NA,NA,NA
2005-08-31,48.36,NA,NA,NA,NA
2005-09-01,48.28,NA,NA,NA,NA
2005-09-02,NA,NA,NA,NA,NA
2005-09-03,NA,NA,NA,NA,NA
2005-09-04,48.4,NA,NA,NA,NA
2005-09-05,48.28,NA,NA,NA,NA
2005-09-06,48.36,NA,NA,NA,NA
2005-09-07,48.36,NA,NA,NA,NA
2005-09-08,48.241,NA,NA,NA,NA
2005-09-09,48.36,NA,NA,NA,NA
2005-09-10,48.36,NA,NA,NA,NA
2005-09-11,48.36,NA,NA,NA,NA
2005-09-12,48.28,NA,NA,NA,NA
2005-09-13,48.28,NA,NA,NA,NA
2005-09-14,48.28,NA,NA,NA,NA
2005-09-15,48.241,NA,NA,NA,NA
2005-09-16,48.28,NA,NA,NA,NA
2005-09-17,48.241,NA,NA,NA,NA
2005-09-18,48.161,NA,NA,NA,NA
2005-09-19,48.241,NA,NA,NA,NA
2005-09-20,48.161,NA,NA,NA,NA
2005-09-21,48.161,NA,NA,NA,NA
2005-09-22,48.241,NA,NA,NA,NA
2005-09-23,48.161,NA,NA,NA,NA
2005-09-24,48.161,NA,NA,NA,NA
2005-09-25,48.161,NA,NA,NA,NA
2005-09-26,48.161,NA,NA,NA,NA
2005-09-27,48.241,NA,NA,NA,NA
2005-09-28,48.241,NA,NA,NA,NA
2005-09-29,48.241,NA,NA,NA,NA
2005-09-30,48.28,NA,NA,NA,NA
2005-10-01,48.241,NA,NA,NA,NA
2005-10-02,48.241,NA,NA,NA,NA
2005-10-03,48.161,NA,NA,NA,NA
2005-10-04,48.28,NA,NA,NA,NA
2005-10-05,48.28,NA,NA,NA,NA
2005-10-06,48.28,NA,NA,NA,NA
2005-10-07,48.28,NA,NA,NA,NA
2005-10-08,48.241,NA,NA,NA,NA
2005-10-09,48.28,NA,NA,NA,NA
2005-10-10,48.36,NA,NA,NA,NA
2005-10-11,48.4,NA,NA,NA,NA
2005-10-12,48.36,NA,NA,NA,NA
2005-10-13,48.36,NA,NA,NA,NA
2005-10-14,48.4,NA,NA,NA,NA
2005-10-15,48.36,NA,NA,NA,NA
2005-10-16,48.36,NA,NA,NA,NA
2005-10-17,48.4,NA,NA,NA,NA
2005-10-18,48.4,NA,NA,NA,NA
2005-10-19,48.439,NA,NA,NA,NA
2005-10-20,48.559,NA,NA,NA,NA
2005-10-21,48.559,NA,NA,NA,NA
2005-10-22,48.598,NA,NA,NA,NA
2005-10-23,48.598,NA,NA,NA,NA
2005-10-24,48.678,NA,NA,NA,NA
2005-10-25,48.598,NA,NA,NA,NA
2005-10-26,48.718,NA,NA,NA,NA
2005-10-27,48.718,NA,NA,NA,NA
2005-10-28,48.598,NA,NA,NA,NA
2005-10-29,48.718,NA,NA,NA,NA
2005-10-30,48.837,NA,NA,NA,NA
2005-10-31,48.797,NA,NA,NA,NA
2005-11-01,48.837,NA,NA,NA,NA
2005-11-02,48.837,NA,NA,NA,NA
2005-11-03,48.797,NA,NA,NA,NA
2005-11-04,48.718,NA,NA,NA,NA
2005-11-05,48.718,NA,NA,NA,NA
2005-11-06,48.718,NA,NA,NA,NA
2005-11-07,48.718,NA,NA,NA,NA
2005-11-08,48.678,NA,NA,NA,NA
2005-11-09,48.678,NA,NA,NA,NA
2005-11-10,48.598,NA,NA,NA,NA
2005-11-11,48.622,NA,NA,NA,NA
2005-11-12,48.678,NA,NA,NA,NA
2005-11-13,48.678,NA,NA,NA,NA
2005-11-14,48.598,NA,NA,NA,NA
2005-11-15,48.678,NA,NA,NA,NA
2005-11-16,48.718,NA,NA,NA,NA
2005-11-17,48.797,NA,NA,NA,NA
2005-11-18,48.718,NA,NA,NA,NA
2005-11-19,48.718,NA,NA,NA,NA
2005-11-20,48.797,NA,NA,NA,NA
2005-11-21,48.797,NA,NA,NA,NA
2005-11-22,48.797,NA,NA,NA,NA
2005-11-23,48.837,NA,NA,NA,NA
2005-11-24,48.797,NA,NA,NA,NA
2005-11-25,48.837,NA,NA,NA,NA
2005-11-26,48.877,NA,NA,NA,NA
2005-11-27,48.797,NA,NA,NA,NA
2005-11-28,48.837,NA,NA,NA,NA
2005-11-29,48.877,NA,NA,NA,NA
